pair_id,source,destination,initial_path,initial_cost,final_path,final_cost,reroutes,reached,pso_alpha,pso_beta,pso_rho
0,0,9,0-1-5-9,420.59,0-1-5-9,425.42,0,YES,0.9071,1.6176,0.5555
1,0,7,0-1-5-6-7,475.00,6-7,518.04,1,YES,0.9498,1.8916,0.8346
2,0,3,0-1-5-6-2-3,569.50,0-1-5-6-2-3,669.37,0,YES,0.9013,4.8116,0.8695
3,1,8,1-5-8,257.00,1-5-8,278.43,0,YES,0.6754,2.2499,0.8907
4,1,9,1-5-8-9,389.33,1-5-8-9,447.37,0,YES,1.3534,4.5913,0.9024
5,2,8,2-1-5-8,367.00,5-8,431.74,1,YES,0.8029,2.7369,0.7721
6,2,9,2-6-9,299.50,2-6-9,313.49,0,YES,0.6929,2.7162,0.7806
7,3,9,3-7-6-9,439.00,6-9,467.74,1,YES,0.7079,2.0302,0.8530
8,4,7,4-5-6-7,369.17,4-5-6-7,374.63,0,YES,0.7477,1.2667,0.9595
9,4,9,4-5-9,314.75,5-9,341.98,1,YES,1.1751,1.5385,0.5941
10,5,9,5-6-9,293.00,5-6-9,298.38,0,YES,1.3421,1.3793,0.6879
11,6,9,6-9,170.50,6-9,180.89,0,YES,1.4963,2.2431,0.5791
12,7,0,7-3-2-1-0,432.50,7-3-2-1-0,460.73,0,YES,0.6986,2.1574,0.5361
13,7,9,7-6-5-8-9,519.83,6-9,321.72,1,YES,1.2526,2.0291,0.8513
14,8,1,8-5-1,212.50,8-5-1,210.68,0,YES,0.5604,1.0761,0.6266
15,9,0,9-8-4-0,355.09,4-0,369.26,1,YES,0.6143,4.0178,0.9719
16,9,3,9-6-2-3,349.50,9-6-2-3,373.86,0,YES,0.6610,2.2221,0.9620
