pair_id,source,destination,vehicle_cat,pool_size,replan_count,reached,final_cost
0,0,9,Truck,1,1,YES,785.76
1,0,9,Bus,1,1,YES,775.14
2,0,9,Car/Micro,1,1,YES,444.99
3,0,9,Rick/Van/Bike,2,20,NO,5531.01
4,0,7,Truck,1,2,YES,776.97
5,0,7,Bus,1,1,YES,808.20
6,0,7,Car/Micro,1,3,YES,1094.76
7,0,7,Rick/Van/Bike,1,2,YES,686.10
8,0,3,Truck,1,0,YES,419.48
9,0,3,Bus,1,1,YES,408.09
10,0,3,Car/Micro,1,0,YES,439.15
11,0,3,Rick/Van/Bike,1,0,YES,423.24
12,1,8,Truck,1,4,YES,1155.21
13,1,8,Bus,1,3,YES,1370.44
14,1,8,Car/Micro,5,0,YES,427.19
15,1,8,Rick/Van/Bike,5,0,YES,340.22
16,1,9,Truck,1,1,YES,951.24
17,1,9,Bus,1,1,YES,1023.40
18,1,9,Car/Micro,2,6,YES,1417.80
19,1,9,Rick/Van/Bike,2,0,YES,380.46
20,2,8,Truck,1,2,YES,1497.69
21,2,8,Bus,1,2,YES,1236.65
22,2,8,Car/Micro,2,4,YES,1150.42
23,2,8,Rick/Van/Bike,4,19,NO,5549.14
24,2,9,Truck,1,3,YES,1107.20
25,2,9,Bus,1,1,YES,1301.72
26,2,9,Car/Micro,4,3,YES,919.71
27,2,9,Rick/Van/Bike,4,0,YES,299.94
28,3,9,Truck,1,1,YES,1466.60
29,3,9,Bus,1,1,YES,1333.03
30,3,9,Car/Micro,3,0,YES,384.86
31,3,9,Rick/Van/Bike,1,0,YES,349.15
32,4,7,Truck,1,1,YES,563.68
33,4,7,Bus,1,1,YES,572.99
34,4,7,Car/Micro,3,17,NO,5038.51
35,4,7,Rick/Van/Bike,3,14,NO,3649.65
36,4,9,Truck,1,0,YES,591.91
37,4,9,Bus,1,0,YES,629.99
38,4,9,Car/Micro,1,0,YES,277.24
39,4,9,Rick/Van/Bike,1,0,YES,267.18
40,5,9,Truck,1,0,YES,414.42
41,5,9,Bus,1,0,YES,379.17
42,5,9,Car/Micro,2,1,YES,606.04
43,5,9,Rick/Van/Bike,1,1,YES,283.24
44,6,9,Truck,1,0,YES,508.51
45,6,9,Bus,1,1,YES,521.26
46,6,9,Car/Micro,1,0,YES,120.56
47,6,9,Rick/Van/Bike,1,0,YES,126.33
48,7,0,Truck,1,1,YES,561.74
49,7,0,Bus,1,0,YES,541.50
50,7,0,Car/Micro,3,9,NO,2750.60
51,7,0,Rick/Van/Bike,2,0,YES,531.30
52,7,9,Truck,1,0,YES,691.20
53,7,9,Bus,1,0,YES,722.29
54,7,9,Car/Micro,1,0,YES,211.73
55,7,9,Rick/Van/Bike,1,0,YES,236.89
56,8,1,Truck,1,3,YES,835.26
57,8,1,Bus,1,1,YES,883.16
58,8,1,Car/Micro,1,5,YES,1180.39
59,8,1,Rick/Van/Bike,1,0,YES,248.09
60,9,0,Truck,1,1,YES,484.61
61,9,0,Bus,1,0,YES,464.26
62,9,0,Car/Micro,1,0,YES,439.36
63,9,0,Rick/Van/Bike,2,19,NO,4246.45
64,9,3,Truck,1,0,YES,960.14
65,9,3,Bus,1,2,YES,993.63
66,9,3,Car/Micro,4,13,YES,3633.44
67,9,3,Rick/Van/Bike,5,7,YES,1909.21
