node_id,x_px,y_px,degree
1,504.0,0.0,1
2,528.0,0.0,1
3,663.0,0.0,1
4,190.0,7.0,1
5,493.0,31.0,2
6,515.0,33.0,3
7,264.0,46.0,1
8,499.0,48.0,2
9,92.0,52.0,1
10,488.0,54.0,2
11,222.0,61.0,3
12,317.0,62.0,1
13,102.0,69.0,2
14,621.0,80.0,3
15,393.0,83.0,2
16,393.0,91.0,3
17,512.0,97.0,4
18,614.0,117.0,2
19,594.0,118.0,1
20,133.0,125.0,2
21,141.0,128.0,2
22,615.0,130.0,2
23,386.0,131.0,3
24,409.0,131.0,4
25,142.0,132.0,2
26,613.0,132.0,2
27,773.0,151.0,3
28,532.0,152.0,1
29,632.0,155.0,3
30,265.0,157.0,2
31,658.0,169.0,1
32,270.0,176.0,2
33,537.0,180.0,1
34,477.0,199.0,1
35,700.0,202.0,1
36,377.0,204.0,2
37,278.0,211.0,3
38,281.0,220.0,3
39,368.0,220.0,3
40,364.0,221.0,3
41,424.0,229.0,4
42,721.0,229.0,1
43,448.0,235.0,2
44,532.0,235.0,3
45,575.0,235.0,3
46,519.0,238.0,3
47,356.0,242.0,1
48,589.0,242.0,3
49,615.0,248.0,1
50,650.0,257.0,1
51,291.0,264.0,1
52,666.0,269.0,3
53,656.0,282.0,2
54,295.0,283.0,1
55,689.0,283.0,2
56,513.0,284.0,3
57,373.0,291.0,1
58,651.0,293.0,2
59,694.0,293.0,2
60,343.0,296.0,1
61,411.0,296.0,3
62,420.0,297.0,4
63,321.0,299.0,3
64,301.0,301.0,3
65,759.0,301.0,3
66,415.0,303.0,3
67,714.0,312.0,3
68,528.0,326.0,2
69,588.0,329.0,4
70,645.0,329.0,4
71,552.0,330.0,1
72,570.0,330.0,1
73,530.0,331.0,3
74,617.0,333.0,3
75,630.0,342.0,1
76,617.0,343.0,3
77,308.0,345.0,2
78,722.0,349.0,2
79,681.0,350.0,1
80,518.0,353.0,3
81,475.0,355.0,3
82,519.0,356.0,3
83,308.0,357.0,2
84,698.0,358.0,1
85,591.0,360.0,4
86,615.0,361.0,3
87,609.0,362.0,3
88,723.0,362.0,2
89,349.0,363.0,3
90,631.0,367.0,1
91,719.0,371.0,3
92,645.0,375.0,2
93,801.0,380.0,2
94,778.0,392.0,2
95,638.0,393.0,3
96,801.0,394.0,3
97,610.0,395.0,3
98,781.0,395.0,2
99,418.0,397.0,3
100,801.0,401.0,2
101,533.0,403.0,2
102,474.0,407.0,3
103,533.0,415.0,3
104,802.0,417.0,2
105,594.0,418.0,4
106,608.0,418.0,3
107,636.0,420.0,3
108,661.0,430.0,3
109,704.0,436.0,3
110,803.0,438.0,2
111,705.0,473.0,1
112,827.0,481.0,1
113,809.0,483.0,3
114,703.0,485.0,1
115,570.0,488.0,1
116,805.0,500.0,2
117,778.0,504.0,1
