node_id,x_px,y_px
1,317.7,242.6
2,398.0,172.0
3,262.2,34.9
4,225.3,84.3
5,332.9,25.7
6,384.0,169.0
7,29.7,66.4
8,438.0,185.5
9,384.3,154.1
10,226.4,58.6
11,384.3,179.9
12,73.5,76.8
13,337.9,171.1
14,428.0,205.5
15,291.0,36.0
16,593.5,120.0
17,334.4,134.9
18,375.0,3.2
19,277.0,34.0
20,195.3,268.6
21,205.1,72.7
22,585.3,117.4
23,399.0,208.4
24,238.0,36.0
25,99.6,70.7
26,44.7,85.6
27,17.0,35.4
28,201.0,30.0
29,274.0,24.5
30,442.0,207.7
31,214.3,59.2
32,35.0,83.5
33,364.3,170.5
34,418.0,188.3
35,124.3,394.8
36,209.2,3.5
37,227.0,25.6
38,164.8,1.8
39,428.0,190.0
40,387.0,194.0
41,185.8,353.4
42,60.8,275.0
43,337.8,187.0
44,371.0,180.0
45,206.2,44.0
46,226.6,39.8
47,197.0,376.0
48,113.8,392.0
49,371.0,169.0
50,223.0,2.4
51,25.8,33.0
52,322.0,152.8
53,263.4,55.8
54,179.0,185.0
55,205.0,254.0
56,241.0,253.0
57,490.0,251.0
58,398.0,235.0
59,500.0,80.0
60,323.0,50.0
61,170.0,48.0
62,570.0,86.0
63,603.0,116.0
64,505.0,274.0
65,532.0,289.0
66,229.0,394.0
67,0.0,62.0
68,639.0,394.0
